INSTANCIA 500_500_3

EXECUCAO 1
Custo: 6313.000000
Vertices: 212
Tempo: 108.766086
Label	|	Custo
  15	|	22.000
 447	|	23.000
 424	|	23.000
 408	|	23.000
 333	|	22.000
 328	|	22.000
 296	|	22.000
  14	|	20.000
 492	|	21.000
 490	|	21.000
 279	|	23.000
 271	|	23.000
 204	|	23.000
 198	|	23.000
 195	|	22.000
 176	|	22.000
 107	|	22.000
  54	|	22.000
  52	|	22.000
 470	|	23.000
 390	|	23.000
 384	|	23.000
 261	|	23.000
 181	|	23.000
  82	|	20.000
 193	|	22.000
  81	|	22.000
  74	|	22.000
 263	|	22.000
  65	|	22.000
 399	|	23.000
 119	|	23.000
 101	|	23.000
  96	|	23.000
 180	|	23.000
 129	|	23.000
  60	|	23.000
  17	|	23.000
 491	|	22.000
 450	|	22.000
 425	|	22.000
 473	|	24.000
 346	|	21.000
 306	|	21.000
 192	|	21.000
 141	|	24.000
 103	|	24.000
 480	|	25.000
 361	|	21.000
 358	|	21.000
 185	|	21.000
 106	|	21.000
 348	|	25.000
 330	|	25.000
 319	|	25.000
 169	|	26.000
 156	|	26.000
 105	|	26.000
  57	|	25.000
   6	|	25.000
 292	|	26.000
 178	|	26.000
 327	|	20.000
 224	|	20.000
 145	|	20.000
 369	|	26.000
 100	|	26.000
  93	|	26.000
  21	|	26.000
   4	|	25.000
  86	|	26.000
 489	|	27.000
 347	|	20.000
 115	|	20.000
  34	|	21.000
 443	|	24.000
 222	|	27.000
 128	|	27.000
  66	|	27.000
 371	|	27.000
 343	|	27.000
 239	|	27.000
   7	|	27.000
 197	|	24.000
 152	|	24.000
 416	|	25.000
 376	|	25.000
 412	|	20.000
 406	|	20.000
 359	|	20.000
 256	|	24.000
 488	|	29.000
 472	|	29.000
 344	|	29.000
 258	|	29.000
 389	|	27.000
 478	|	28.000
 410	|	28.000
 395	|	28.000
 366	|	28.000
 166	|	25.000
 113	|	25.000
 396	|	27.000
 418	|	28.000
 461	|	20.000
 365	|	25.000
 318	|	25.000
 299	|	25.000
 281	|	25.000
 275	|	28.000
 253	|	28.000
 173	|	28.000
 338	|	30.000
 297	|	30.000
 229	|	30.000
 203	|	30.000
 393	|	30.000
 372	|	30.000
 123	|	30.000
  69	|	30.000
 465	|	32.000
 462	|	32.000
 380	|	32.000
 211	|	29.000
 196	|	29.000
  67	|	29.000
 460	|	30.000
  47	|	30.000
 351	|	31.000
 230	|	31.000
 136	|	31.000
  29	|	31.000
 487	|	32.000
 265	|	32.000
 201	|	32.000
 155	|	32.000
 135	|	32.000
 356	|	31.000
 354	|	32.000
 109	|	32.000
  38	|	32.000
  26	|	33.000
 368	|	34.000
 303	|	34.000
 127	|	34.000
 242	|	33.000
 215	|	33.000
 165	|	33.000
 355	|	34.000
 125	|	34.000
  30	|	34.000
 228	|	29.000
 217	|	29.000
 325	|	33.000
 248	|	33.000
  20	|	34.000
 309	|	35.000
  89	|	28.000
 290	|	35.000
 287	|	35.000
 205	|	35.000
  48	|	35.000
 312	|	36.000
 262	|	36.000
 237	|	36.000
 130	|	36.000
  28	|	36.000
  27	|	35.000
  11	|	35.000
 468	|	36.000
 419	|	36.000
 379	|	36.000
 400	|	38.000
  68	|	38.000
  50	|	38.000
 339	|	39.000
 227	|	39.000
 116	|	39.000
